kode_provinsi,nama_provinsi,lintang,bujur,panjang_jalan,rasio_penduduk,vcr,smp,rasio_kendaraan
"1100","Nanggroe Aceh Darussalam","5.55","95.31667","18682","234",".241","1319119","71"
"1200","Sumatera Utara","3.583333","98.66666","36964","358",".239","2751158","74"
"1300","Sumatera Barat","-0.95","100.3531","17790","271",".212","1192829","67"
"1400","Riau","0.4816667","101.4686","19297.8","275",".153","1629090","84"
"1500","Jambi","-1.589167","103.61","10477","276",".436","1360653","130"
"1600","Sumatera Selatan","-2.990833","104.7567","14064","514",".227","1324767","94"
"1700","Bengkulu","-3.795556","102.2592","5922","281",".166","433274","73"
"1800","Lampung","-5.429722","105.2625","14903","503",".283","947089","64"
"1900","Kepulauan Bangka Belitung","-2.1","106.1","3708","307",".311","355131","96"
"2100","Kepulauan Riau","1.083333","104.4833","2144.2","707",".153","430150","201"
"3100","DKI Jakarta","-6.183333","106.8333","6185","2138",".82","13094329","2117"
"3200","Jawa Barat","-6.914722","107.6097","25679","1616",".364","3544198","138"
"3300","Jawa Tengah","-6.966667","110.4167","28490","1154",".377","6384531","224"
"3400","D I Yogyakarta","-7.801389","110.3644","4833","725",".317","1853133","383"
"3500","Jawa Timur","-7.266667","112.7167","37027","1007",".368","7493852","202"
"3600","Banten","-6.12","106.1503","4773","2050",".389","528026","111"
"5100","Bali","-8.65","115.2167","7360","482",".254","2239685","304"
"5200","Nusa Tenggara Barat","-8.583333","116.1167","7347","604",".128","659278","90"
"5300","Nusa Tenggara Timur","-10.18333","123.5833","20397","226",".145","398316","20"
"6100","Kalimantan Barat","-0.0166667","109.3333","13011","332",".108","1180945","91"
"6200","Kalimantan Tengah","-2.21","113.92","11799","177",".071","708015","60"
"6300","Kalimantan Selatan","-3.314444","114.5925","9752","359",".143","1324574","136"
"6400","Kalimantan Timur","-0.5022222","117.1536","9786","323",".08","1696463","173"
"7100","Sulawesi Utara","1.493056","124.8414","5960","374",".171","538016","90"
"7200","Sulawesi Tengah","-0.9","119.8333","15625","159",".115","977631","63"
"7300","Sulawesi Selatan","-5.133333","119.4167","28372","279",".166","1004158","35"
"7400","Sulawesi Tenggara","-3.9675","122.5947","8192","259",".137","365755","45"
"7500","Gorontalo","0.5333334","123.0667","4977","198",".119","113285","23"
"7600","Sulawesi Barat","-2.668611","118.8622","7338","143",".147","540701","74"
"8100","Maluku","-3.7","128.1667","5984","224",".024","218873","37"
"8200","Maluku Utara","0.7833334","127.3667","1402","695",".168","1851","1"
"9100","Papua Barat","-0.8666667","134.0833","4783","156",".028","122952","26"
"9400","Papua","-2.533056","140.7169","8511","246",".147","228340","27"
